set,pokemon,nr,lang,note1,note2
TEF,Keilflamme Ex,204,de,,
sv5M,Eisenhaupt Ex,94,jp,,
TEF,Eisenblatt Ex,203,de,,
SVI,Eisenrad Ex,248,it,,
OBF,Glurak Ex,223,de,,
PAL,Dinglu Ex,263,de,,
JTG,Volcanion Ex,182,de,,
WHT,Trikephalo Ex,169,de,,
BLK,Genesect Ex,169,de,,
SFA,Boninu Ex,90,de,,
SVI,Miraidon Ex,244,de,,
PAR,Eisenhand Ex,248,de,,
BST,Despotar V,155,de,,
PAR,Altaria Ex,253,de,,
TEF,Sesokitz,165,de,,
TEF,Kronjuwild,166,de,,
SSP,Kecleon,213,de,,
PAF,Pamo,226,de,,
SFA,Kapu-Toro,65,de,,
PAR,Elezeba,195,de,,
SSP,Vibrava,206,de,,
sv2a,Enton,175,jp,,
sv2a,Relaxo,181,jp,,
sv11W,Aeropteryx,130,jp,,
SSP,Drapfel,210,de,,
sv2a,Nidoking,174,jp,,
DRI,Frizelbliz,196,de,,
SSP,Bummelz,212,de,,
TEF,Wommel,172,de,,
SVI,Tarundel,199,de,,
SVI,Olivinio,200,de,,
BLK,Milza,145,de,,
SVI,Trasla,211,de,,
SVI,Kirlia,212,de,,
SVI,Guardevoir Ex,245,de,,
sv5M,Flamiau,75,jp,,
SSP,Ignivor,196,de,,
PAL,Fuentente,207,de,,
SVI,Mastifioso,218,de,,
TEF,Akkup,169,de,,
TEF,Schlurp,180,de,,
SVI,Halupenjo,202,de,,
TWM,Chaneira,187,de,,
SCR,Briduradon,155,de,,
DRI,Team Rockets Mauzi,203,de,,
DRI,Team Rockets Smogmog,199,de,,
DRI,Team Rockets Hundemon,191,de,,
OBF,Hunduster,204,de,,
TWM,Qurtel,172,de,,
PAR,Magby,186,de,,
sv1V,Flegmon,82,jp,,
sv2a,Pikachu,173,jp,,
TWM,Stollrak,184,de,,
JTG,eF-eM,169,de,,
OBF,Vulnona,199,de,,
SVI,Crimanzo,203,it,,
SCR,Liliep,145,de,,
SSP,Phanpy,205,de,,
WHT,Gryoheldis,145,de,,
SSP,Latios,203,de,,
SSP,Vesprit,204,de,,
sv6a,Cresselia,71,jp,,
TEF,Plaudagei,181,de,,
SVI,Adebom,219,de,,
TEF,Sen-Long,184,de,,
SFA,Zwirrlicht,68,de,,
SFA,Zwirrklop,69,de,,
SFA,Zwirrfinst,70,de,,
OBF,Kubuin Ex,222,de,,
SSP,Kolowal,201,de,,
TEF,Snomnom,168,de,,
WHT,Wie-Shu,134,de,,
TEF,Metagross,178,de,,
SCR,Kickerlo,147,de,,
JTG,Ns Reshiram,167,de,,
PAR,Eisenfalter,187,de,,
SCR,Wattzapf,150,de,,
PAR,Krakeelo,212,de,,
SVI,Tentagra,201,de,,
SCR,Zeraora,151,de,,
sv1V,Traumato,86,jp,,
DRI,Hydrapfel,188,de,,
ASR,Seedraking,3,de,TG,
JTG,Wolwerock,166,de,,
LOR,Banette,7,en,TG,
LOR,Formeo,11,en,TG,
CEC,Magnetilo,242,de,,
CEC,Stalabor,246,de,,
JTG,Enigmaras Voltrean,163,de,,
LOR,Hisui Arkani,8,de,TG,
LOR,Maritellit V,12,de,TG,
LOR,Pikachu,5,de,TG,
LOR,Parasek,1,de,TG,
JTG,Hops Wolly,170,de,,
SVI,Heerashai,207,de,,
JTG,Wailord,162,de,,
SVI,Scampisto,205,de,,
DRI,Perlu,195,de,,
SVP,Flatterhaar,97,de,,
SVP,Morbitesse,211,de,,
SVP,Mewtu,52,en,,
SM-P,Armored Mewtwo,365,jp,,
SVP,Noctuh,141,de,,
SVP,Infamomo,129,de,,
SVP,Eisenrad Ex,73,de,,
SVP,Eisendorn,98,en,,
SVP,Türkisgrüne-Maske-Ogerpon,123,de,,
SVP,Victini,208,de,,
SVP,Zytomega,212,de,,
SVP,Koraidon,14,de,,
SVP,Pikachu,88,de,,
SVP,Pikachu,27,de,,
SVP,Glumanda,44,de,,
SVP,Mimigma,75,de,,
SVP,Evoli,173,de,,
SVP,Türkisgrüne-Maske-Ogerpon Ex,166,de,,
SVP,Terapagos Ex,165,de,,
SVP,Lapras Ex,164,de,,
SVP,Liberlo Ex,163,de,,
OBF,Gladiantri,148,de,Promo,
OBF,Caesurio,149,de,Promo,
SVP,Gladimperio,130,de,,
OBF,Glumanda,26,de,Promo,
OBF,Glutexo,27,de,Promo,
SVP,Glurak Ex,56,de,,
MEW,Glumanda,4,de,Promo,
MEW,Glutexo,5,de,Promo,
SVP,Glurak Ex,161,de,,
SVP,Sproxi,99,de,,
SVP,Affiti Ex,100,de,,
OBF,Gruff,100,de,Promo,
SVP,Friedwuff Ex,162,de,,
PAL,Zwieps,167,de,Promo,MC
PAR,Famieps Ex,155,de,Promo,
PAL,Pamo,74,de,Promo,
PAL,Pamamo,75,de,Promo,
OBF,Pamomamo Ex,73,de,Promo,
SWSH,Zeraora Vmax,264,de,Promo,
SWSH,Mauzi V,4,de,Promo,
SWSH,Endynalos,64,de,Promo,
SWSH,Mewtu V,229,en,Promo,
SWSH,Hisui-Admurai V,239,de,Promo,
SWSH,Mortipot V,21,de,Promo,
SWSH,Liberlo V,15,de,Promo,
OBF,Kubuin Ex,42,de,Promo,Adventskalender
PAL,Pikachu Ex,63,de,Promo,Adventskalender
XY,Mewtu Ex,107,de,Promo,
SVP,Blutmond-Ursaluna Ex,177,de,,
SVP,Furienblitz Ex,145,de,,
SVP,Hops Zacian Ex,193,de,,
SVP,Eisenhaupt Ex,146,de,,
SVP,Felori Ex,87,de,,
SVP,Mimigma Ex,4,en,,
TEF,Hoothoot,126,de,Promo,
TEF,Noctuh,127,de,Promo,
SWSH,Zacian Lv X,135,de,Promo,
JTG,Hops Wolly,135,de,Promo,
JTG,Hops Zwollock,136,de,Promo,
SSH,Galar-Barrikadax,119,de,Promo,Stamp
SVP,Yuyu,57,de,,
CEC,Solgaleo,142,de,Promo,Stamp
SVP,Xatu,59,de,,
PAL,Flaniwal,53,de,Promo,Adventskalender
PAR,Schneppke,37,de,Promo,Adventskalender
PAL,Frospino,58,de,Promo,Adventskalender
TWM,Eisenbündel,62,de,Promo,Adventskalender
PAR,Gelatwino,45,de,Promo,Adventskalender
BLK,Victini,12,de,Promo,
SVP,Krokel,192,de,,
PRE,Evoli,74,de,Promo,Pokemon Day 
SVP,Felori,191,de,,
SVP,Pii,95,de,,
TWM,Sirapfel,18,de,Promo,
SVP,Zebritz,201,de,,
SVP,Infamomo,149,de,,
TWM,Maske des Oni,159,de,Promo,
TWM,Türkisgrüne-Maske-Ogerpon,24,de,Promo,
BLK,Serpifeu,1,de,Promo,
WHT,Floink,11,de,Promo,
WHT,Ottaro,21,de,Promo,
PAR,Gramokles,131,de,Promo,
PAR,Duokles,132,de,Promo,
PAR,Durengard Ex,135,de,Promo,
SVI,Pepper,249,de,,
PAR,Prof. Antiquas Vitalität,256,de,,
MEW,Erikas Einladung,203,de,,
PAL,Saguaro,270,de,,
OBF,Poppy,227,de,,
CEC,Maho & Tracy,231,de,,
MEW,Erikas Einladung,196,de,,
PRE,Shugi,133,de,,
SCR,Kombu,165,de,,
TEF,Jens' Überzeugung,201,de,,
LOR,Susuki,192,de,,
SCR,Matt,164,de,,
PAF,Nemelia,229,de,,
SHF,Ballduin,65,de,,
DRI,Richter,222,de,,
SUM,Elima,146,de,,
SUM,Prof. Kukui,148,de,,
GRI,Tali,144,de,,
SFA,Janinas Geheimkunst,88,de,,
SVI,Cosima,239,de,,
PRE,Rioba,136,de,,
OBF,Geeta,218,de,,
SSP,Citros Scharfsinn,229,de,,
SFA,Achromas' Beharrlichkeit,87,de,,
TEF,Bell's Hingabe,197,en,,
PAR,Norman,237,de,,
VIV,Delion,182,de,,
SVI,Forschung des Professors - Professor Futurus,241,it,,
SFA,Xeros' Machinationen,89,de,,
DRI,Team Rockets Lambda,226,de,,
BKT,Giovannis Intrige,162,de,,
FCO,Team Rockets Machenschaften,124,de,,
MEW,Giovannis Charisma,197,de,,
LOR,Stadionruine,215,de,,
OBF,Bolardin,229,de,,
ASR,Jubeldorf,212,de,,
TEU,Richerpfeife,194,de,,
SVI,Sonderbonbon,256,de,MC,
cs3a,Rexblisar,126,cn,,
cs3b,Legios,126,cn,,
JTG,Rockos Erkundung,179,de,,
SFA,Snobilikat,78,de,,
SCR,Tortunator,146,de,,
SVI,Hefel,213,de,,
JTG,Wiesenior,168,de,,
SSP,Flunschlik,202,de,,
JTG,Arktos,161,de,,
WHT,Kleoparda,137,de,,
BLK,Serpiroyal Ex,164,de,,
BS,Vulnona,12,de,,
BS,Garados,6,de,,
NG,Meganie,10,en,,
WP,Enton,20,en,,
NG,Ampharos,1,en,,
NG,Azumarill,2,en,,
NR,Papungha,9,en,,
SK,Garados,10,de,H,
NDI,Scherox,10,de,,
SK,Expedition ins Unterirdische,140,de,Reverse,
AQ,Lektrobal,7,de,H,
AQ,Hunduster,86,de,Reverse,
SS,Pelipper,50,en,Reverse,
SS,Puppance,22,en,Reverse,
SS,Sengo,14,en,Holo,
SS,Lunastein,8,de,Holo,
RS,Geckarbor,75,de,Reverse,
RS,Lapras Ex,99,de,,
FL,Glutexo,31,de,Holo,
FL,Ditto,4,de,Holo,
DX,Sterndu,27,de,Holo,
EM,Milotic,8,de,Holo,
HP,Aerodactyl,35,de,Stamp,
LM,Sarzenia,13,it,Holo,
LM,Roselia,42,en,Holo,
UF,Ho-Oh,27,it,Holo,
LA,Mamutel,9,de,Holo,
GE,Rotom,7,de,Holo,
STF,Lumineon,4,de,Reverse,
PL,Voltilamm,82,de,Reverse,
PR,Ancient Mew,,en,2000,
LM,Mew,10,de,Holo,
CRZ,Mew,10,de,GG,
SVP,Mew Ex,53,en,,
SLG,Shining Mew,40,de,Holo,
PAF,Mew Ex,216,de,,
MEW,Mew Ex,205,de,,
MEW,Mew Ex,205,en,Metal,
WP,Mew,9,en,,
CEL,Mew,11,de,,
FCO,Mew,29,de,,
DAA,Mew V,69,en,,
FST,Mew Vmax,114,de,,
FST,Mew Vmax,114,en,signed stamp,
EVO,Mew,53,en,Reverse,
HIF,Mew,32,de,Holo,
HIF,Mew,32,de,Reverse,
SV-P,Aquana,63,jp,,
SV-P,Blitza,64,jp,,
SV-P,Flamara,65,jp,,
SV-P,Psiana,66,jp,,
SV-P,Nachtara,67,jp,,
SV-P,Folipurba,68,jp,,
SV-P,Glaziola,69,jp,,
SV-P,Feelinara,70,jp,,
SV-P,Evoli,62,jp,,
s6a,Nachtara Vmax,48,jp,,
EVS,Flamara Vmax,18,en,,
EVS,Feelinara Vmax,75,de,,
NDI,Psiana,20,de,,
TR,Evoli,55,de,First-Edition,
UD,Nachtara,10,de,Holo,
EVS,Nachtara V,94,de,,
SUM,Psiana Gx,61,de,,
CRZ,Folipurba V,14,de,,
PRE,Blitza Ex,30,de,,
PRE,Psiana Ex,34,de,,
PRE,Evoli,74,de,Meisterball,
PRE,Nachtara Ex,60,de,,
PRE,Glaziola Ex,26,de,,
PRE,Feelinara Ex,41,de,,
SVP,Flamara,167,de,,
SVP,Aquana,168,de,,
SVP,Blitza,169,de,,
SVP,Folipurba,170,de,,
SVP,Glaziola,171,de,,
SVP,Feelinara,172,de,,
SM,Evoli Gx,233,de,,
MA,Team Aquas Kyogre,3,de,non-holo,
s11a,Kyogre,30,jp,,
SHF,Kyogre,21,de,,
CEL,Kyogre,3,de,Holo,
CEC,Kyogre,53,de,non-holo,
CRZ,Kyogre V,37,en,,
SVP,Kyogre Ex,178,de,,
ASR,Welsar,36,de,non-holo,
BRS,Karadonis,81,de,non-holo,
BRS,Magmar,19,de,non-holo,
LOR,Ariados,113,en,non-holo,
SWSH,Galar-Lavados,284,de,,
SVI,Lahmus,43,it,holo,
MEW,Aerodactyl,142,de,holo,
OBF,Bronzel,144,en,Reverse,
PAR,Absol,113,de,non-holo,
SVI,Mamolida,48,it,Reverse,
PAR,Elezeba,62,de,Reverse,
TEF,Tohaido,43,de,Reverse,
SSP,Kecleon,150,de,Reverse,
SVP,Magneton,159,de,,
SFA,Kriechflügel,26,de,Reverse,
SFA,Eisenfalter,9,de,non-holo,
TWM,Girafarig,83,de,non-holo,
sv2a,Bisasam,166,jp,,
sv2a,Bisaknosp,167,jp,,
MEW,Bisaflor Ex,198,de,,
sv2a,Glumanda,168,jp,,
sv2a,Glutexo,169,jp,,
sv2a,Schiggy,170,jp,,
sv2a,Schillok,171,jp,,
MEW,Turtok Ex,200,de,,
BKT,Hundemon Ex,153,de,,
BKT,Mega Firnontor Ex,156,de,,
TEF,Fuegro Ex,187,de,,
EVO,Tauboss Ex,104,de,,
SUM,Lapras Gx,139,de,,
TEU,Fuegro Gx,188,de,,
TEU,Kobalium Gx,106,de,,
TEU,Pantimos Gx,67,de,,
TEU,Ampharos Gx,43,de,,
TEU,Fuegro Gx,97,de,,
SUM,Fuegro Gx,27,de,,
SUM,Mantidea Gx,15,de,,
SUM,Solgaleo Gx,89,de,,
SUM,Silvarro Gx,12,de,,
UNM,Flegmon & Enton Gx,35,de,,
UNM,Psiana & Deoxys Gx,72,de,,
CEC,Bisaflor & Serpifeu Gx,1,de,,
CEC,Amigento Gx,184,de,,
CEC,Choreogel Gx,95,de,,
GRI,Kapu-Fala Gx,60,de,,
GRI,Lusardin Gx,133,de,,
GRI,Donarion Gx,45,de,,
GRI,Grandiras Gx,100,de,,
BKT,Brigaron TURBO,12,de,,
BKT,Zoroark TURBO,92,de,,
EVO,Vulnona TURBO,16,de,,
BKP,Quajutsu TURBO,41,de,,
FCO,Amoroso TURBO,19,de,,
FCO,Relaxo,77,de,Reverse,
TEU,Arktos,32,de,Reverse,
TEU,Dragoran,119,de,Reverse,
LOR,Relaxo,143,en,Holo,
LOR,Strahlendes Stahlos,124,de,,
LOR,Strahlendes Guardevoir,69,de,,
SIT,Strahlendes Jirachi,120,de,,
EVO,Kokowei,109,en,,
MCD19,Raupy,1,de,Holo,
MCD25,Glumanda,9,de,Holo,
MCD25,Igamaro,6,de,Holo,
MCD25,Hydropi,19,de,Holo,
MCD22,Victini,5,de,Holo,
M23,Pikachu,6,de,Holo,
M23,Kolowal,5,de,Holo,
M24,Dragoran,12,de,Holo,
SVP,Team Rockets Mewtu Ex,216,de,,
SVP,Team Rockets Snobilikat Ex,218,de,,
MD,Icognito Lv. 15,49,de,Reverse,
IFDS,Dialga Lv. 72,71,jp,Holo,First Edition
BW8T,Folipurba,6,jp,First Edition,
