set,pokemon,nr,lang,note1,note2,online_price
TEF,Keilflamme Ex,204,de,,,38.23
TEF,Eisenblatt Ex,203,de,,,29.49
SVI,Eisenrad Ex,248,it,,,
OBF,Glurak Ex,223,de,,,81.66
PAL,Dinglu Ex,263,de,,,
JTG,Volcanion Ex,182,de,,,36.3
WHT,Trikephalo Ex,169,de,,,61.35
BLK,Genesect Ex,169,de,,,35.32
SFA,Boninu Ex,90,de,,,20.05
SVI,Miraidon Ex,244,de,,,19.83
PAR,Eisenhand Ex,248,de,,,14.04
BST,Despotar V,155,de,,,152.95
PAR,Altaria Ex,253,de,,,
TEF,Sesokitz,165,de,,,15.78
TEF,Kronjuwild,166,de,,,20.7
SSP,Kecleon,213,de,,,4.25
PAF,Pamo,226,de,,,0.98
SFA,Kapu-Toro,65,de,,,5.4
PAR,Elezeba,195,de,,,5.97
SSP,Vibrava,206,de,,,2.52
SSP,Drapfel,210,de,,,2.98
DRI,Frizelbliz,196,de,,,3.55
SSP,Bummelz,212,de,,,5.31
TEF,Wommel,172,de,,,3.81
SVI,Tarundel,199,de,,,5.41
SVI,Olivinio,200,de,,,3.99
BLK,Milza,145,de,,,7.73
SVI,Trasla,211,de,,,24.35
SVI,Kirlia,212,de,,,22.15
SVI,Guardevoir Ex,245,de,,,52.35
SSP,Ignivor,196,de,,,2.58
PAL,Fuentente,207,de,,,5.08
SVI,Mastifioso,218,de,,,4.06
TEF,Akkup,169,de,,,3.29
TEF,Schlurp,180,de,,,8.24
SVI,Halupenjo,202,de,,,3.53
TWM,Chaneira,187,de,,,20.23
SCR,Briduradon,155,de,,,2.36
DRI,Team Rockets Mauzi,203,de,,,23.83
DRI,Team Rockets Smogmog,199,de,,,10.23
DRI,Team Rockets Hundemon,191,de,,,16.96
OBF,Hunduster,204,de,,,7.36
TWM,Qurtel,172,de,,,3.8
PAR,Magby,186,de,,,11.62
TWM,Stollrak,184,de,,,3.13
JTG,eF-eM,169,de,,,4.23
OBF,Vulnona,199,de,,,17.61
SVI,Crimanzo,203,it,,,9.27
SCR,Liliep,145,de,,,3.06
SSP,Phanpy,205,de,,,5.74
WHT,Gryoheldis,145,de,,,6.09
SSP,Latios,203,de,,,34.34
SSP,Vesprit,204,de,,,11.77
TEF,Plaudagei,181,de,,,7.23
SVI,Adebom,219,de,,,3.29
TEF,Sen-Long,184,de,,,8.69
SFA,Zwirrlicht,68,de,,,19.38
SFA,Zwirrklop,69,de,,,15.64
SFA,Zwirrfinst,70,de,,,14.7
OBF,Kubuin Ex,222,de,,,5.14
SSP,Kolowal,201,de,,,2.34
TEF,Snomnom,168,de,,,5.11
WHT,Wie-Shu,134,de,,,5.69
TEF,Metagross,178,de,,,15.93
SCR,Kickerlo,147,de,,,4.71
JTG,Ns Reshiram,167,de,,,17.86
PAR,Eisenfalter,187,de,,,4.12
SCR,Wattzapf,150,de,,,4.06
PAR,Krakeelo,212,de,,,9.16
SVI,Tentagra,201,de,,,3.94
SCR,Zeraora,151,de,,,7.1
DRI,Hydrapfel,188,de,,,3.49
ASR,Seedraking,3,de,TG,,0.02
JTG,Wolwerock,166,de,,,2.48
LOR,Banette,7,en,TG,,0.03
LOR,Formeo,11,en,TG,,0.02
CEC,Magnetilo,242,de,,,11.99
CEC,Stalabor,246,de,,,3.49
JTG,Enigmaras Voltrean,163,de,,,3.78
LOR,Hisui Arkani,8,de,TG,,0.18
LOR,Maritellit V,12,de,TG,,0.03
LOR,Pikachu,5,de,TG,,0.08
LOR,Parasek,1,de,TG,,0.02
JTG,Hops Wolly,170,de,,,3.57
SVI,Heerashai,207,de,,,7.87
JTG,Wailord,162,de,,,9.75
SVI,Scampisto,205,de,,,4.41
DRI,Perlu,195,de,,,3.88
SVP,Flatterhaar,97,de,,,
SVP,Morbitesse,211,de,,,
SVP,Mewtu,52,en,,,
SVP,Noctuh,141,de,,,
SVP,Infamomo,129,de,,,
SVP,Eisenrad Ex,73,de,,,
SVP,Eisendorn,98,en,,,
SVP,Türkisgrüne-Maske-Ogerpon,123,de,,,
SVP,Victini,208,de,,,
SVP,Zytomega,212,de,,,
SVP,Koraidon,14,de,,,
SVP,Pikachu,88,de,,,
SVP,Pikachu,27,de,,,
SVP,Glumanda,44,de,,,
SVP,Mimigma,75,de,,,
SVP,Evoli,173,de,,,
SVP,Türkisgrüne-Maske-Ogerpon Ex,166,de,,,
SVP,Terapagos Ex,165,de,,,
SVP,Lapras Ex,164,de,,,
SVP,Liberlo Ex,163,de,,,
OBF,Gladiantri,148,de,Promo,,0.04
OBF,Caesurio,149,de,Promo,,0.06
SVP,Gladimperio,130,de,,,
OBF,Glumanda,26,de,Promo,,0.07
OBF,Glutexo,27,de,Promo,,0.06
SVP,Glurak Ex,56,de,,,
MEW,Glumanda,4,de,Promo,,0.07
MEW,Glutexo,5,de,Promo,,0.09
SVP,Glurak Ex,161,de,,,
SVP,Sproxi,99,de,,,
SVP,Affiti Ex,100,de,,,
OBF,Gruff,100,de,Promo,,0.03
SVP,Friedwuff Ex,162,de,,,
PAL,Zwieps,167,de,Promo,MC,0.04
PAR,Famieps Ex,155,de,Promo,,0.74
PAL,Pamo,74,de,Promo,,0.02
PAL,Pamamo,75,de,Promo,,0.03
OBF,Pamomamo Ex,73,de,Promo,,0.79
SWSH,Zeraora Vmax,264,de,Promo,,
SWSH,Mauzi V,4,de,Promo,,
SWSH,Endynalos,64,de,Promo,,
SWSH,Mewtu V,229,en,Promo,,
SWSH,Hisui-Admurai V,239,de,Promo,,
SWSH,Mortipot V,21,de,Promo,,
SWSH,Liberlo V,15,de,Promo,,
OBF,Kubuin Ex,42,de,Promo,Adventskalender,1.01
PAL,Pikachu Ex,63,de,Promo,Adventskalender,1.38
SVP,Blutmond-Ursaluna Ex,177,de,,,
SVP,Furienblitz Ex,145,de,,,
SVP,Hops Zacian Ex,193,de,,,
SVP,Eisenhaupt Ex,146,de,,,
SVP,Felori Ex,87,de,,,
SVP,Mimigma Ex,4,en,,,
TEF,Hoothoot,126,de,Promo,,0.05
TEF,Noctuh,127,de,Promo,,0.03
SWSH,Zacian Lv X,135,de,Promo,,
JTG,Hops Wolly,135,de,Promo,,0.02
JTG,Hops Zwollock,136,de,Promo,,0.06
